REGS sub_15C850_fileopen cycle=216375210 eip=00380850 eax=00000188 ebx=001234DD ecx=000003E8 edx=00000005 esi=003EBB20 edi=0038EC2B ebp=00000000 esp=003EBAD4 ret=0036FCA4
REGS sub_167320_entry cycle=238921962 eip=0038B320 eax=003ECE10 ebx=0083B57C ecx=00000001 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=240421370 eip=0038B320 eax=003ECE10 ebx=008386B4 ecx=00000002 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=241224724 eip=0038B320 eax=003ECE10 ebx=008387D0 ecx=00000003 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=241403336 eip=0038B320 eax=003ECE10 ebx=00838738 ecx=00000004 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=241546448 eip=0038B320 eax=003ECE10 ebx=00838668 ecx=00000005 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=241632147 eip=0038B320 eax=003ECE10 ebx=00838390 ecx=00000006 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=242192392 eip=0038B320 eax=003ECE10 ebx=008385A0 ecx=00000007 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=243596325 eip=0038B320 eax=003ECE10 ebx=00838730 ecx=00000008 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=244947814 eip=0038B320 eax=003ECE10 ebx=008385D0 ecx=00000009 edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=246275070 eip=0038B320 eax=003ECE10 ebx=008383A0 ecx=0000000A edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=247632043 eip=0038B320 eax=003ECE10 ebx=00838378 ecx=0000000B edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
REGS sub_167320_entry cycle=249026710 eip=0038B320 eax=003ECE10 ebx=008384C0 ecx=0000000C edx=0072C040 esi=004517E0 edi=0038EC2B ebp=003ECE10 esp=003EBB68 ret=0036F586
